Tries,outcome
1382,Two pair
1383,One pair
1384,One pair
1385,Two pair
1386,One pair
1387,Two pair
1388,High card
1389,One pair
1390,Two pair
1391,High card
1392,Two pair
1393,Two pair
1394,One pair
1395,Two pair
1396,Two pair
1397,One pair
1398,One pair
1399,High card
1400,Full house
1401,Two pair
1402,One pair
1403,One pair
1404,One pair
1405,One pair
1406,Three of a kind
1407,One pair
1408,High card
1409,Three of a kind
1410,One pair
1411,Two pair
1412,One pair
1413,High card
1414,One pair
1415,High card
1416,High card
1417,Two pair
1418,Two pair
1419,Two pair
1420,One pair
1421,Two pair
1422,High card
1423,One pair
1424,Three of a kind
1425,High card
1426,High card
1427,One pair
1428,High card
1429,One pair
1430,High card
1431,One pair
1432,High card
1433,Two pair
1434,Two pair
1435,Two pair
1436,One pair
1437,Straight
1438,Two pair
1439,Straight
1440,Straight
1441,One pair
1442,One pair
1443,Two pair
1444,One pair
1445,High card
1446,One pair
1447,Two pair
1448,One pair
1449,One pair
1450,One pair
1451,One pair
1452,One pair
1453,Two pair
1454,One pair
1455,One pair
1456,One pair
1457,Two pair
1458,One pair
1459,One pair
1460,One pair
1461,Two pair
1462,Two pair
1463,One pair
1464,Two pair
1465,One pair
1466,One pair
1467,One pair
1468,High card
1469,One pair
1470,Three of a kind
1471,Two pair
1472,One pair
1473,One pair
1474,One pair
1475,Two pair
1476,One pair
1477,One pair
1478,Two pair
1479,One pair
1480,Two pair
1481,One pair
1482,One pair
1483,One pair
1484,High card
1485,High card
1486,One pair
1487,One pair
1488,One pair
1489,One pair
1490,Straight flush
1491,One pair
1492,One pair
1493,One pair
1494,Two pair
1495,One pair
1496,High card
1497,High card
1498,One pair
1499,One pair
1500,High card
1501,Two pair
1502,High card
1503,One pair
1504,Two pair
1505,One pair
1506,One pair
1507,Two pair
1508,High card
1509,High card
1510,One pair
1511,High card
1512,One pair
1513,Three of a kind
1514,One pair
1515,Two pair
1516,Two pair
1517,One pair
1518,High card
1519,One pair
1520,Two pair
1521,Two pair
1522,One pair
1523,High card
1524,One pair
1525,Two pair
1526,One pair
1527,High card
1528,One pair
1529,One pair
1530,One pair
1531,One pair
1532,Two pair
1533,One pair
1534,Two pair
1535,One pair
1536,One pair
1537,One pair
1538,One pair
1539,Two pair
1540,One pair
1541,One pair
1542,Straight
1543,One pair
1544,One pair
1545,One pair
1546,One pair
1547,Two pair
1548,Two pair
1549,One pair
1550,One pair
1551,One pair
1552,High card
1553,High card
1554,One pair
1555,High card
1556,One pair
1557,High card
1558,High card
1559,One pair
1560,High card
1561,One pair
1562,One pair
1563,One pair
1564,High card
1565,Two pair
1566,High card
1567,One pair
